avgx,avgy,avgz,avgTf,label
-0.143746046,-0.982019119,-0.121464765,1.062800801,walk
-0.0729379,-0.9940028,-0.0998034,1.060742,walk
-0.1385142,-1.0173418,-0.159482,1.13394,walk
-0.2899479,-0.9608779,-0.2061244,1.116975,walk
-0.2004861,-0.9757912,-0.1771562,1.119866,walk
-0.1570853,-0.9638732,-0.1341169,1.084886,walk
-0.1812239,-1.0019013,-0.1638574,1.125965,walk
-0.1036676,-1.0114391,-0.1387165,1.117037,walk
-0.035837,-0.997985,-0.110551,1.088942,walk
-0.0942402,-0.9781313,-0.0758637,1.076989,walk
-0.07083,-1.030157,-0.1184644,1.125003,walk
-0.0637235,-0.9958157,-0.075334,1.089638,walk
-0.0715488,-0.9709094,-0.0241175,1.075745,walk
-0.0604542,-0.9887913,-0.0028006,1.083424,walk
-0.0620285,-1.0212005,-0.0351775,1.126416,walk
-0.0501258,-1.0106142,0.0473256,1.132698,walk
-0.0266816,-0.9931555,0.046224,1.107399,walk
-0.0119946,-0.9992891,-0.0078048,1.104527,walk
0.026264,-1.0008492,0.0390549,1.080098,walk
0.0091482,-1.0178343,-0.0455631,1.121867,walk
0.0157258,-1.0367506,-0.0454446,1.113653,walk
-0.043216,-1.028811,-0.0395904,1.119173,walk
-0.0782952,-1.0314873,-0.1132193,1.168501,walk
-0.1023662,-0.9812504,-0.0877813,1.077066,walk
-0.0777334,-1.0026012,-0.0449219,1.019923,walk
0.0377971,-0.9986735,0.0112289,1.000349,walk
-0.0050663,-0.9908015,-0.04889,1.007476,walk
-0.0753612,-0.9970951,-0.0168359,1.001611,walk
-0.127186,-0.9883519,-0.0467131,0.999739,walk
-0.0494078,-0.9950761,-0.0265571,0.999435,walk
-0.1034628,-1.0207356,-0.1400437,1.103618,walk
-0.0430937,-0.9914502,-0.1547032,1.125576,walk
-0.0334456,-0.9846321,-0.079642,1.091292,walk
-0.0532711,-1.0323438,-0.1066244,1.137798,walk
-0.0498658,-1.0070504,-0.08583,1.109169,walk
-0.0215965,-0.9975721,-0.0156496,1.074238,walk
-0.0427011,-1.0016139,-0.0116378,1.101703,walk
-0.0397095,-1.0524018,-0.063485,1.158487,walk
-0.0204364,-0.9795281,-0.030807,1.059801,walk
-0.0706973,-1.0135172,-0.0846766,1.117601,walk
-0.0395985,-1.0171258,-0.1159753,1.124922,walk
-0.0313619,-1.0013267,-0.0492355,1.094559,walk
-0.0316747,-1.0632021,-0.1161206,1.196728,walk
-0.0287231,-0.9867125,-0.039344,1.065798,walk
-0.0635217,-1.020811,-0.0903156,1.110843,walk
-0.0335313,-1.0201469,-0.1301434,1.141574,walk
-0.03175,-1.0023074,-0.0283301,1.104272,walk
-0.0117639,-1.0534919,-0.0739192,1.156191,walk
-0.0445778,-0.9819118,-0.0655497,1.082524,walk
-0.082246,-1.0305383,-0.1071045,1.149676,walk
-0.0110849,-1.0166718,-0.0857868,1.129469,walk
-0.0164978,-1.014081,-0.0198881,1.108559,walk
-0.047732,-1.0238042,-0.1016545,1.129344,walk
-0.0720581,-0.991282,-0.066256,1.099201,walk
-0.1028647,-1.0179595,-0.1237717,1.152547,walk
-0.0266286,-1.0056146,-0.0500304,1.122885,walk
0.0054336,-1.0514377,-0.0792003,1.1594,walk
-0.0321054,-0.980466,-0.0733262,1.082625,walk
-0.0721193,-1.0421216,-0.1290411,1.153107,walk
0.0395867,-1.0011533,-0.000485,1.054715,walk
-0.0099679,-0.9896428,-0.0963238,1.009017,walk
0.0256484,-0.9950136,-0.0646115,1.001874,walk
0.0257957,-0.9930296,-0.123275,1.041528,walk
-0.0690917,-1.0165004,-0.0864659,1.123733,walk
-0.0930193,-0.9897362,-0.0760561,1.073591,walk
-0.0929507,-1.0276883,-0.144231,1.138801,walk
-0.0158333,-1.0070067,-0.0909267,1.091793,walk
0.0078447,-1.0353278,-0.1321829,1.132462,walk
-0.0189367,-0.9872366,-0.1005594,1.072262,walk
-0.0561828,-1.0431596,-0.1452458,1.163672,walk
-0.0983534,-1.0014273,-0.0665879,1.072022,walk
-0.0775109,-1.0270231,-0.1622378,1.127402,walk
-0.1404594,-0.9404571,-0.2245199,1.043734,walk
-0.0785649,-0.9955979,-0.1792226,1.064418,walk
-0.1466285,-1.0078398,-0.1732458,1.09317,walk
-0.1066934,-1.0397254,-0.1118119,1.14206,walk
-0.0381794,-1.0020305,-0.0896855,1.086101,walk
-0.1964817,-0.9879786,-0.1835161,1.107103,walk
-0.188549,-0.9397146,-0.1621892,1.040635,walk
-0.2900402,-0.9525762,-0.0622255,1.066141,walk
-0.25787,-0.9328297,0.0173923,1.024477,walk
-0.1603751,-1.002675,0.0093844,1.144347,walk
-0.2083017,-0.9728704,-0.0955956,1.062021,walk
-0.242614,-0.9653745,-0.1976791,1.122287,walk
-0.2063435,-0.9014791,-0.240043,1.029491,walk
0.2096149,-0.8217737,0.058407,1.074837,walk
-0.0847681,0.2571926,0.9837167,1.02649,walk
-0.0660719,0.1894342,0.9726868,0.998032,walk
-0.006426,0.1828738,0.9899668,1.010823,walk
-0.0423606,0.173356,1.011367,1.03201,walk
0.013084,1.0280282,-0.1798517,1.091976,walk
-0.0417751,1.0043549,-0.1301367,1.041192,walk
0.0515351,1.0029017,-0.0560884,1.013694,walk
0.0195919,1.0067275,-0.0362328,1.013472,walk
0.0199974,1.0054309,-0.0278647,1.010809,walk
-0.0181746,0.9680793,-0.1092122,0.991215,walk
-0.0018217,0.9796502,-0.2135973,1.032685,walk
-0.0049863,1.0316327,-0.1545298,1.084684,walk
-0.0027899,0.961472,-0.1943957,1.031653,walk
-0.0491786,1.0071264,-0.1674468,1.074408,walk
-0.0877116,0.9692635,-0.1426116,1.030732,walk
-0.0949961,1.0263672,-0.153191,1.102014,walk
-0.1083493,0.9706086,-0.1709342,1.046745,walk
-0.0646452,0.9760845,-0.1581972,1.045225,walk
-0.0757304,1.0071011,-0.1702887,1.080966,walk
-0.0907203,0.9888852,-0.1646162,1.058573,walk
-0.0714907,0.9827851,-0.1342381,1.048345,walk
-0.0819838,1.0295167,-0.1731195,1.095318,walk
-0.0689694,0.9584339,-0.1840582,1.02504,walk
-0.0314593,0.997897,-0.1686954,1.071411,walk
-0.0884875,1.0059985,-0.1917515,1.076476,walk
-0.0461824,0.9992341,-0.1279396,1.051001,walk
-0.0667929,0.9817272,-0.2074765,1.057093,walk
0.0003298,1.0074854,-0.178556,1.071981,walk
-0.0780842,0.9772846,-0.1733531,1.048755,walk
-0.043907,1.0246837,-0.1510635,1.096045,walk
-0.0687908,0.964839,-0.1724811,1.027128,walk
-0.0241397,1.0052614,-0.2010393,1.07921,walk
-0.056636,0.9853005,-0.1190584,1.035864,walk
-0.0503878,1.0233263,-0.1718919,1.100948,walk
-0.070824,0.9888621,-0.1656707,1.067339,walk
-0.019014,0.972347,-0.1812411,1.053735,walk
-0.037969,1.0105419,-0.1684898,1.087959,walk
-0.0515097,0.9837672,-0.1791707,1.063877,walk
-0.002,0.9730917,-0.1186244,1.03765,walk
-0.0101366,1.0282354,-0.1679104,1.112489,walk
-0.0416808,0.9738134,-0.1574827,1.054671,walk
0.0111596,0.9650064,-0.1917756,1.060334,walk
-0.0098809,1.0182439,-0.1711467,1.092788,walk
-0.0518787,0.9781397,-0.1613642,1.032239,walk
-0.0173261,0.9940635,-0.1734718,1.066983,walk
-0.0216342,0.9882535,-0.1945186,1.073412,walk
0.0042407,0.9669954,-0.1839763,1.041901,walk
0.001663,1.0084072,-0.1905524,1.090271,walk
-0.0158727,0.9892592,-0.2037808,1.064783,walk
0.0229457,0.9749063,-0.1929846,1.060944,walk
0.0202379,0.9941424,-0.1650527,1.086636,walk
-0.0299202,1.015713,-0.1821627,1.094786,walk
0.0048552,0.9589794,-0.2034515,1.039713,walk
-0.0013637,0.9859953,-0.1742568,1.062226,walk
0.0228357,0.9888675,-0.1868532,1.099647,walk
0.0100561,0.9914547,-0.1501225,1.080143,walk
0.0062805,0.990343,-0.1771237,1.081956,walk
-0.0222973,1.0132289,-0.1697111,1.091466,walk
-0.0324778,0.9771273,-0.1837992,1.060145,walk
-0.0199596,0.9928997,-0.13713,1.05461,walk
-0.031322,1.0013743,-0.1804737,1.063983,walk
0.0828067,0.9966453,-0.1304945,1.042737,walk
0.0540594,1.0016241,-0.1104495,1.016679,walk
-0.0174831,1.0039354,-0.0973279,1.014003,walk
-0.0826187,0.9947383,-0.1134563,1.014496,walk
-0.0997555,0.9997739,-0.05749,1.007615,walk
-0.0407251,1.0086155,0.007426,1.009733,walk
-0.0474528,1.0072547,0.0060365,1.008531,walk
-0.0310149,1.0079256,-0.001535,1.008508,walk
-0.0273871,1.008156,-0.0001029,1.008594,walk
-0.0129794,1.0081894,-0.0053822,1.008388,walk
-0.0450059,1.0078211,0.00061,1.009233,walk
-0.0788148,1.0058649,0.0025096,1.00994,walk
-0.0751173,1.0068617,0.004008,1.011356,walk
-0.0699483,1.0021007,-0.0687713,1.00893,walk
-0.1247167,1.0020732,-0.0083236,1.010311,walk
-0.0177147,0.9884777,-0.1702061,1.009789,walk
-0.0165201,1.00128,-0.1372318,1.027034,walk
0.0230354,1.0018863,-0.1269973,1.056939,walk
0.0231723,1.0135048,-0.0374618,1.047546,walk
-0.0115503,0.9854026,-0.0155903,1.010181,walk
0.0099819,1.0360231,-0.0447426,1.072655,walk
-0.0126169,1.0142983,-0.0379488,1.046846,walk
0.0209661,0.9896284,-0.0406032,1.024993,walk
0.0001069,1.0333626,-0.0423026,1.074065,walk
0.0060053,1.0063577,-0.0515722,1.046226,walk
0.05965,1.0011728,-0.052371,1.042303,walk
0.0038563,1.0338875,-0.0443486,1.069975,walk
0.0121263,0.9818395,-0.0645358,1.023134,walk
0.0316611,1.0281342,-0.0792325,1.071107,walk
-0.0199285,1.0168364,-0.1088875,1.068597,walk
0.0257616,0.9876077,-0.0630161,1.035598,walk
-0.02879,1.0382801,-0.040943,1.092617,walk
-0.0133908,0.9993807,-0.0655763,1.053728,walk
-0.041796096,0.336235435,0.954983884,1.03087988,walk
-0.4492671,-0.4584572,0.1664356,1.110041,walk
-0.3614463,-0.807418,-0.4741357,1.033557,walk
-0.4403448,-0.7758546,-0.4996788,1.050133,walk
-0.3699327,-0.7906401,-0.4580524,1.026599,walk
-0.4171849,-0.7980028,-0.4942914,1.073183,walk
-0.3636844,-0.8106901,-0.4354237,1.028885,walk
-0.4304094,-0.7970744,-0.518845,1.08182,walk
-0.4289558,-0.8001745,-0.3972924,1.04404,walk
-0.4454703,-0.819313,-0.4367307,1.082128,walk
-0.4313282,-0.7967384,-0.3849243,1.01596,walk
-0.4615826,-0.8344523,-0.450729,1.114857,walk
-0.4420543,-0.788752,-0.4494207,1.085236,walk
-0.4392489,-0.7805338,-0.4432616,1.053896,walk
-0.4991517,-0.8015183,-0.4458615,1.107673,walk
-0.4746543,-0.7888677,-0.3820824,1.040424,walk
-0.5254826,-0.7901745,-0.4408399,1.101429,walk
-0.4907595,-0.7394879,-0.4036809,1.007803,walk
-0.5442681,-0.7378087,-0.467587,1.059347,walk
-0.4748863,-0.7336981,-0.4391181,1.00561,walk
-0.5213381,-0.7297734,-0.5139451,1.054257,walk
-0.4953943,-0.7228702,-0.4912977,1.042193,walk
-0.4740233,-0.7577154,-0.4319452,1.048478,walk
-0.4738373,-0.7961615,-0.482623,1.086442,walk
-0.5209679,-0.7295041,-0.4070642,1.014306,walk
-0.5398556,-0.7706934,-0.4108259,1.07211,walk
-0.5124644,-0.7723592,-0.4664499,1.08498,walk
-0.462061,-0.7554865,-0.4281544,1.042541,walk
-0.5433716,-0.7834817,-0.438348,1.110217,walk
-0.510166,-0.7381234,-0.4665175,1.043034,walk
-0.489857,-0.8063451,-0.3147289,1.027178,walk
-0.538937,-0.7400331,-0.39029,1.030208,walk
-0.4697927,-0.7256948,-0.5188213,1.041681,walk
-0.5190472,-0.7296701,-0.4858645,1.03932,walk
-0.4913214,-0.6836685,-0.5043002,1.016918,walk
-0.5167186,-0.7340393,-0.5278878,1.067392,walk
-0.5385197,-0.6483112,-0.4730737,0.990962,walk
-0.5639228,-0.7360956,-0.4760906,1.06769,walk
-0.498868,-0.7473128,-0.4140421,1.045751,walk
-0.4359259,-0.7471739,-0.4930893,1.023629,walk
-0.5563724,-0.7389692,-0.4438594,1.059562,walk
-0.550364,-0.6886302,-0.4541303,1.007006,walk
-0.5968307,-0.6708507,-0.4515395,1.023227,walk
-0.5767513,-0.700326,-0.446504,1.030865,walk
-0.578473,-0.6777247,-0.4378727,1.015841,walk
-0.5822207,-0.7055101,-0.4682597,1.048098,walk
-0.5244887,-0.6919377,-0.4472899,0.993609,walk
-0.5763607,-0.6890183,-0.4884552,1.042532,walk
-0.5645503,-0.6907933,-0.4679222,1.038432,walk
-0.6118663,-0.6713728,-0.419487,1.020489,walk
-0.5707653,-0.7402344,-0.4077744,1.05349,walk
-0.5585556,-0.7224587,-0.3749753,1.016195,walk
-0.5497095,-0.7384359,-0.4583651,1.050006,walk
-0.5381258,-0.693228,-0.4527677,1.014282,walk
-0.5915181,-0.704339,-0.4376437,1.037537,walk
-0.593059,-0.6935325,-0.417791,1.024912,walk
-0.5518211,-0.7662083,-0.3503181,1.030371,walk
-0.5938159,-0.721277,-0.3475243,1.011721,walk
-0.6284865,-0.7046466,-0.3841189,1.037703,walk
-0.5980954,-0.6894881,-0.4313441,1.027419,walk
-0.6283878,-0.6637497,-0.3813332,1.007883,walk
-0.6676175,-0.6515915,-0.3699744,1.017092,walk
-0.6538843,-0.6999472,-0.3610588,1.037697,walk
-0.6401086,-0.6912956,-0.3602291,1.026067,walk
-0.6237872,-0.6744718,-0.3618794,1.006932,walk
-0.6316077,-0.680382,-0.3873004,1.027447,walk
-0.6336497,-0.7016364,-0.3761523,1.037116,walk
-0.6411456,-0.709846,-0.3466455,1.038203,walk
-0.6670297,-0.6805421,-0.3318482,1.025344,walk
-0.6277363,-0.6833001,-0.3469498,1.007689,walk
-0.6452301,-0.682968,-0.3308396,1.006651,walk
-0.6571902,-0.7189425,-0.3299362,1.04523,walk
-0.6358203,-0.6837237,-0.3454313,1.010744,walk
-0.6664845,-0.6752424,-0.3330822,1.040672,walk
-0.6463998,-0.7001207,-0.3682991,1.039571,walk
-0.6177109,-0.6923615,-0.3738427,1.018118,walk
-0.6012087,-0.6746316,-0.4155534,1.009015,walk
-0.573762,-0.8046378,-0.3540904,1.095721,walk
-0.6004545,-0.6487766,-0.4605348,1.025302,walk
-0.6033513,-0.6680924,-0.4113612,1.007038,walk
-0.6506642,-0.6813232,-0.383566,1.043102,walk
-0.5960183,-0.7014293,-0.4313949,1.044595,walk
-0.6101292,-0.7320344,-0.4085867,1.078936,walk
-0.5106085,-0.751624,-0.4314834,1.040196,walk
-0.4870775,-0.7527672,-0.4220498,1.000313,walk
-0.5498785,-0.714251,-0.4066238,1.003794,walk
-0.5388378,-0.7160306,-0.4831274,1.027124,walk
-0.5492248,-0.734458,-0.4204182,1.021069,walk
-0.6182114,-0.6835636,-0.3114666,0.996461,walk
-0.6375807,-0.7281851,-0.3644114,1.077148,walk
0.259945946,-0.133421722,0.643307808,1.030578579,MRT
0.4168938,-0.6527888,-0.5697246,1.015397,MRT
0.2055157,-0.6471529,-0.7284008,0.996129,MRT
0.1346777,-0.6564976,-0.7337006,0.994031,MRT
0.1170608,-0.6574085,-0.7327187,0.991531,MRT
0.0995067,-0.6587578,-0.7367563,0.993497,MRT
0.1030951,-0.6559375,-0.7349284,0.991187,MRT
0.1034621,-0.6571952,-0.7385136,0.994263,MRT
0.1028637,-0.6568984,-0.7376567,0.993391,MRT
0.1007446,-0.6568144,-0.7385768,0.993791,MRT
0.1200021,-0.6601432,-0.7291128,0.99117,MRT
0.1807737,-0.6552761,-0.7242426,0.993633,MRT
0.2168153,-0.6504911,-0.7211441,0.995634,MRT
0.2330798,-0.6462709,-0.7288747,1.00214,MRT
0.2245166,-0.6323274,-0.7353907,0.996161,MRT
0.1983475,-0.6181228,-0.7529848,0.994971,MRT
0.1371487,-0.610892,-0.7785624,0.999552,MRT
0.1164377,-0.6037637,-0.7917921,1.00327,MRT
0.1125304,-0.6194935,-0.7755855,0.999986,MRT
0.1104619,-0.626843,-0.7508615,0.985566,MRT
0.1070623,-0.6394963,-0.7493646,0.992152,MRT
0.1327227,-0.6442482,-0.7483315,0.997861,MRT
0.1575118,-0.6349234,-0.7431193,0.991255,MRT
0.1161764,-0.6388033,-0.7504077,0.994718,MRT
0.1115164,-0.6350037,-0.7482116,0.990537,MRT
0.1129978,-0.6405451,-0.7550778,0.997409,MRT
0.0934669,-0.6383461,-0.7594377,0.997827,MRT
0.1118887,-0.6408539,-0.7519588,0.995618,MRT
0.1233839,-0.6418956,-0.7531759,0.998219,MRT
0.1139102,-0.6353734,-0.753944,0.993933,MRT
0.0773675,-0.6355728,-0.7579131,0.99393,MRT
0.0247528,-0.6434646,-0.7640054,0.999937,MRT
0.0133078,-0.6346956,-0.7679963,0.996963,MRT
0.0140417,-0.6371532,-0.7719997,1.003671,MRT
0.0099065,-0.6331169,-0.7699963,0.997878,MRT
0.0151488,-0.6326778,-0.773537,1.000334,MRT
0.0179893,-0.6312686,-0.7716804,0.997636,MRT
0.0610419,-0.6317448,-0.7647563,0.994269,MRT
0.102492,-0.6303696,-0.7598961,0.996871,MRT
0.1210162,-0.6307172,-0.7557318,0.991926,MRT
0.1216695,-0.6313528,-0.7553363,0.991922,MRT
0.1211518,-0.6299459,-0.7567712,0.992069,MRT
0.1215445,-0.6297009,-0.7568626,0.992029,MRT
0.1222638,-0.6305708,-0.7562697,0.992218,MRT
0.1220648,-0.6290258,-0.7575372,0.992187,MRT
0.1218444,-0.6286282,-0.757696,0.992024,MRT
0.1219387,-0.6299084,-0.7567952,0.992156,MRT
0.1342853,-0.6253442,-0.758481,0.99222,MRT
0.1332666,-0.6252532,-0.75878,0.992235,MRT
0.1438448,-0.629112,-0.7536524,0.992492,MRT
0.2248222,-0.6231242,-0.7426537,0.995401,MRT
0.2480034,-0.6222636,-0.7377037,0.996623,MRT
0.2478323,-0.6258862,-0.7345056,0.996621,MRT
0.2482334,-0.6180948,-0.7390113,0.995237,MRT
0.2433553,-0.621764,-0.7400002,0.997303,MRT
0.2378718,-0.6251115,-0.7495952,1.005199,MRT
0.2576137,-0.6280285,-0.7488552,1.011588,MRT
0.2312209,-0.6199471,-0.7457186,0.998825,MRT
0.18507,-0.625934,-0.7446344,0.991691,MRT
0.166299,-0.6205266,-0.7398308,0.981704,MRT
0.1653547,-0.6328581,-0.7499537,0.996624,MRT
0.1661402,-0.6346648,-0.7525246,0.999487,MRT
0.1671344,-0.6273825,-0.7457141,0.99091,MRT
0.1473023,-0.6166576,-0.7480738,0.982354,MRT
0.1196924,-0.6125528,-0.7500809,0.979053,MRT
0.1262989,-0.6290025,-0.7579886,0.995864,MRT
0.1091749,-0.6273526,-0.7582635,0.991541,MRT
0.0727029,-0.6313366,-0.7673281,0.998601,MRT
0.0354339,-0.628766,-0.7725714,0.998047,MRT
0.0076281,-0.6339018,-0.7793008,1.005387,MRT
0.0149535,-0.6275821,-0.7758958,1.000225,MRT
0.0179299,-0.6305351,-0.7738482,0.99953,MRT
0.0186226,-0.6248869,-0.7784564,0.999186,MRT
0.0162707,-0.6298523,-0.7754259,1.000073,MRT
0.0508062,-0.6181667,-0.7771685,0.994682,MRT
0.229693,-0.369627,-0.0435122,1.027698,MRT
0.024929957,0.244064978,0.9851375,1.020983836,MRT
0.233928529,-0.154824625,0.636904204,1.029642643,MRT
0.4918616,-0.8830465,0.0032303,1.02604,MRT
0.4508122,-0.8837473,0.0287486,0.992781,MRT
0.4189438,-0.9009609,0.0241317,0.994228,MRT
0.4453591,-0.8873761,0.0121128,0.993003,MRT
0.4741308,-0.8740282,-0.0399543,0.995293,MRT
0.4975388,-0.8611818,-0.0705022,0.997096,MRT
0.4997621,-0.8601353,-0.0724006,0.997428,MRT
0.5001255,-0.8597397,-0.0720742,0.997267,MRT
0.4977755,-0.8607998,-0.0734553,0.997141,MRT
0.4840881,-0.867607,-0.0402306,0.994704,MRT
0.468577,-0.8759644,-0.0031916,0.993644,MRT
0.4711882,-0.8720296,0.0087675,0.991618,MRT
0.4699394,-0.8763582,0.0108913,0.994616,MRT
0.4735623,-0.8716236,0.0088691,0.992194,MRT
0.4725211,-0.8721514,0.0081133,0.992328,MRT
0.4718829,-0.8682971,0.0125256,0.988604,MRT
0.4651315,-0.8680713,0.0161956,0.985093,MRT
0.4633945,-0.8739019,0.0304721,0.989732,MRT
0.4653461,-0.8762842,0.036637,0.992907,MRT
0.4726129,-0.8712545,0.0394532,0.992032,MRT
0.4654641,-0.8776883,0.0347777,0.994127,MRT
0.4565757,-0.884381,0.0291646,0.995791,MRT
0.451772,-0.8921481,0.0170248,1.00029,MRT
0.4585939,-0.8873271,0.0080082,0.999011,MRT
0.4580044,-0.8872502,0.0012424,0.998792,MRT
0.4756802,-0.8732275,0.0006505,0.994724,MRT
0.4812705,-0.8689218,0.0007818,0.993481,MRT
0.4844815,-0.8695453,0.0024891,0.995623,MRT
0.4822737,-0.8678504,-0.0007362,0.993088,MRT
0.4833009,-0.8697159,-0.0011567,0.995191,MRT
0.4819329,-0.8691177,-0.0076621,0.994091,MRT
0.481061,-0.8699716,-0.0158509,0.994564,MRT
0.480803,-0.8668328,-0.0159556,0.991687,MRT
0.4745429,-0.8667076,-0.0010251,0.988439,MRT
0.4700551,-0.870568,0.0094162,0.989717,MRT
0.4665837,-0.8787117,0.016091,0.995265,MRT
0.4638918,-0.8790344,0.0176919,0.994236,MRT
0.4685674,-0.8836097,0.0152123,1.000501,MRT
0.4688808,-0.883543,0.0038366,1.000388,MRT
0.4731079,-0.8786843,-0.0046286,0.998201,MRT
0.474862,-0.8747823,-0.0111911,0.995592,MRT
